date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,73.97000122070312,74.8499984741211,73.79000091552734,74.62000274658203,67.45266723632812,4071900,0.0,0.0
2024-10-02,73.98999786376953,74.43000030517578,72.91000366210938,73.30000305175781,66.25944519042969,5958300,0.0,0.0
2024-10-03,72.95999908447266,73.1500015258789,72.22000122070312,73.04000091552734,66.0244140625,3443600,0.0,0.0
2024-10-04,72.68000030517578,73.77999877929688,72.58999633789062,73.61000061035156,66.53968048095703,2413000,0.0,0.0
2024-10-07,73.51000213623047,73.73999786376953,72.6500015258789,72.73999786376953,65.75325012207031,2392100,0.0,0.0
2024-10-08,72.66000366210938,72.81999969482422,71.9800033569336,72.48999786376953,65.52723693847656,3328400,0.0,0.0
2024-10-09,72.62000274658203,72.70999908447266,71.88999938964844,72.06999969482422,65.14759063720703,2620600,0.0,0.0
2024-10-10,71.7699966430664,72.5,71.16000366210938,71.30000305175781,64.99263000488281,2578600,0.6,0.0
2024-10-11,71.58999633789062,71.58999633789062,70.75,70.80999755859375,64.54598236083984,2816000,0.0,0.0
2024-10-14,70.86000061035156,70.9000015258789,70.48999786376953,70.83000183105469,64.564208984375,2221600,0.0,0.0
2024-10-15,70.98999786376953,72.55000305175781,70.87999725341797,71.2300033569336,64.9288330078125,3709900,0.0,0.0
2024-10-16,70.93000030517578,71.4800033569336,70.9000015258789,71.0,64.71916961669922,3240400,0.0,0.0
2024-10-17,71.0,71.0,70.44999694824219,70.68000030517578,64.4274673461914,3169700,0.0,0.0
2024-10-18,70.5999984741211,70.5999984741211,69.63999938964844,69.93000030517578,63.74382400512695,3867800,0.0,0.0
2024-10-21,70.25,70.3499984741211,68.61000061035156,68.7699966430664,62.68644332885742,3501800,0.0,0.0
2024-10-22,68.7300033569336,69.23999786376953,68.63999938964844,69.08000183105469,62.96902084350586,3378900,0.0,0.0
2024-10-23,68.79000091552734,68.93000030517578,68.3499984741211,68.58000183105469,62.51325225830078,3385000,0.0,0.0
2024-10-24,68.5199966430664,69.02999877929688,68.45999908447266,68.61000061035156,62.54059600830078,2369300,0.0,0.0
2024-10-25,68.6500015258789,68.86000061035156,68.26000213623047,68.30000305175781,62.25802230834961,2183900,0.0,0.0
2024-10-28,68.38999938964844,68.97000122070312,68.16000366210938,68.2699966430664,62.23065948486328,3029600,0.0,0.0
2024-10-29,68.0199966430664,68.58000183105469,67.87000274658203,67.94999694824219,61.93898391723633,2966100,0.0,0.0
2024-10-30,67.87999725341797,68.26000213623047,67.5999984741211,68.22000122070312,62.185096740722656,5067200,0.0,0.0
2024-10-31,68.20999908447266,68.88999938964844,68.0,68.0199966430664,62.00278091430664,4288800,0.0,0.0
2024-11-01,68.27999877929688,68.68000030517578,67.94999694824219,68.23999786376953,62.203330993652344,3495000,0.0,0.0
2024-11-04,68.2300033569336,68.62999725341797,67.94999694824219,68.08999633789062,62.06660079956055,2851900,0.0,0.0
2024-11-05,68.01000213623047,68.41000366210938,67.83000183105469,68.30999755859375,62.26713562011719,3202400,0.0,0.0
2024-11-06,68.6500015258789,68.73999786376953,65.86000061035156,65.98999786376953,60.152366638183594,5910500,0.0,0.0
