date,adjclose
2024-10-01,473.4097900390625
2024-10-02,475.1675109863281
2024-10-03,469.4789123535156
2024-10-04,478.2291564941406
2024-10-07,477.70758056640625
2024-10-08,479.5909423828125
2024-10-09,487.906494140625
2024-10-10,486.4964294433594
2024-10-11,498.6462707519531
2024-10-14,504.8757019042969
2024-10-15,504.5184631347656
2024-10-16,511.7425842285156
2024-10-17,510.91204833984375
2024-10-18,510.4291687011719
2024-10-21,500.09503173828125
2024-10-22,500.57794189453125
2024-10-23,499.51556396484375
2024-10-24,506.5660095214844
2024-10-25,495.07281494140625
2024-10-28,505.6773986816406
2024-10-29,506.3534851074219
2024-10-30,506.4693603515625
2024-10-31,500.0853271484375
2024-11-01,501.59197998046875
2024-11-04,493.9814453125
2024-11-05,508.9417724609375
2024-11-06,575.601806640625
2024-11-07,562.2640380859375
2024-11-08,569.1116943359375
2024-11-11,581.7444458007812
2024-11-12,572.3278198242188
2024-11-13,573.9020385742188
2024-11-14,568.4838256835938
2024-11-15,573.2452392578125
2024-11-18,567.8850708007812
2024-11-19,561.5009765625
2024-11-20,562.0322265625
2024-11-21,575.7273559570312
2024-11-22,582.1693115234375
2024-11-25,582.4107666015625
2024-11-26,584.7963256835938
2024-11-27,584.7286987304688
2024-11-29,587.7613525390625
2024-12-02,584.0148315429688
2024-12-03,584.3739624023438
2024-12-04,581.1031494140625
2024-12-05,579.2492065429688
2024-12-06,582.0444946289062
2024-12-09,576.6480712890625
2024-12-10,567.825439453125
2024-12-11,575.1339721679688
2024-12-12,574.2118530273438
2024-12-13,568.2621459960938
2024-12-16,569.087158203125
2024-12-17,557.77978515625
2024-12-18,534.0681762695312
2024-12-19,537.6981201171875
2024-12-20,549.4520874023438
2024-12-23,553.9945068359375
2024-12-24,565.6512451171875
2024-12-26,564.1370849609375
2024-12-27,559.2356567382812
2024-12-30,556.6830444335938
2024-12-31,555.7802734375
2025-01-02,558.0612182617188
2025-01-03,563.0695190429688
2025-01-06,566.233642578125
2025-01-07,563.0598754882812
2025-01-08,562.9627685546875
2025-01-10,543.531494140625
2025-01-13,546.3947143554688
2025-01-14,554.7224731445312
2025-01-15,588.1010131835938
2025-01-16,594.963134765625
2025-01-17,607.5322265625
2025-01-21,616.0735473632812
2025-01-22,614.1226196289062
2025-01-23,620.693603515625
2025-01-24,618.1700439453125
2025-01-27,614.6564331054688
2025-01-28,619.0435180664062
2025-01-29,618.6358642578125
2025-01-30,626.7112426757812
2025-01-31,621.5670776367188
2025-02-03,613.7731323242188
2025-02-04,615.5299072265625
2025-02-05,626.4685668945312
2025-02-06,638.8629150390625
2025-02-07,636.6112060546875
2025-02-10,631.399169921875
2025-02-11,628.2059326171875
2025-02-12,629.9141235351562
2025-02-13,629.8656005859375
2025-02-14,641.1244506835938
2025-02-18,652.4222412109375
2025-02-19,648.5009765625
2025-02-20,623.3723754882812
2025-02-21,607.2022705078125
2025-02-24,607.7264404296875
2025-02-25,596.8265991210938
2025-02-26,599.6026611328125
2025-02-27,590.119873046875
2025-02-28,606.984619140625
2025-03-03,590.3734741210938
2025-03-04,566.8466796875
2025-03-05,578.4832763671875
2025-03-06,553.7079467773438
2025-03-07,545.9047241210938
2025-03-10,518.5836791992188
2025-03-11,518.3592529296875
2025-03-12,522.5340576171875
2025-03-13,511.9021911621094
2025-03-14,528.0938110351562
2025-03-17,537.7796630859375
2025-03-18,538.2088623046875
2025-03-19,543.632080078125
2025-03-20,548.8406982421875
2025-03-21,551.2402954101562
2025-03-24,565.8322143554688
2025-03-25,571.5286865234375
2025-03-26,559.8042602539062
2025-03-27,545.1731567382812
2025-03-28,529.7619018554688
2025-03-31,532.8538818359375
2025-04-01,534.960693359375
2025-04-02,549.2503662109375
2025-04-03,498.65618896484375
2025-04-04,459.2303161621094
2025-04-07,454.0606689453125
2025-04-08,450.85162353515625
2025-04-09,504.15740966796875
2025-04-10,477.7532043457031
2025-04-11,482.27911376953125
2025-04-14,491.5845031738281
2025-04-15,495.3983154296875
2025-04-16,486.7757263183594
2025-04-17,496.9589538574219
2025-04-21,489.02886962890625
2025-04-22,507.20074462890625
2025-04-23,516.2914428710938
2025-04-24,531.9564819335938
2025-04-25,531.4589233398438
2025-04-28,532.9611206054688
2025-04-29,535.4191284179688
2025-04-30,534.0828247070312
2025-05-01,540.2083740234375
2025-05-02,552.1766357421875
2025-05-05,545.7974853515625
2025-05-06,535.848388671875
2025-05-07,538.3453979492188
2025-05-08,551.7864379882812
2025-05-09,553.1520385742188
2025-05-12,576.7958374023438
2025-05-13,588.9591674804688
2025-05-14,596.5574951171875
2025-05-15,600.7518310546875
2025-05-16,603.8048095703125
2025-05-19,597.2402954101562
2025-05-20,591.6025390625
2025-05-21,578.8637084960938
2025-05-22,583.516357421875
2025-05-23,583.8187255859375
2025-05-27,600.5859375
2025-05-28,593.4752807617188
2025-05-29,589.9832763671875
2025-05-30,588.6011352539062
2025-06-02,586.9052734375
2025-06-03,591.9144287109375
2025-06-04,587.3856201171875
2025-06-05,593.9240112304688
2025-06-06,601.8837890625
2025-06-09,601.4132080078125
2025-06-10,602.736572265625
2025-06-11,611.8530883789062
2025-06-12,612.7744750976562
2025-06-13,601.4328002929688
2025-06-16,615.46044921875
2025-06-17,612.313720703125
2025-06-18,622.70458984375
2025-06-20,628.1549072265625
2025-06-23,634.1149291992188
2025-06-24,649.0443725585938
2025-06-25,656.6512451171875
2025-06-26,673.6000366210938
2025-06-27,677.1781005859375
2025-06-30,693.7838134765625
2025-07-01,692.5192260742188
2025-07-02,701.7631225585938
2025-07-03,709.3993530273438
2025-07-07,696.9010009765625
2025-07-08,683.5203857421875
2025-07-09,682.8146362304688
2025-07-10,695.126708984375
2025-07-11,691.0390625
2025-07-14,699.2242431640625
2025-07-15,688.6471557617188
2025-07-16,694.8326416015625
2025-07-17,691.9114990234375
2025-07-18,694.28369140625
2025-07-21,692.068359375
2025-07-22,686.5885620117188
2025-07-23,703.3609619140625
2025-07-24,704.9882202148438
2025-07-25,714.5947875976562
2025-07-28,709.3699951171875
2025-07-29,717.53564453125
2025-07-30,716.3298950195312
2025-07-31,709.3111572265625
2025-08-01,695.56787109375
2025-08-04,711.7030639648438
2025-08-05,706.6840209960938
2025-08-06,710.4384765625
2025-08-07,705.537109375
2025-08-08,707.0369873046875
2025-08-11,705.0469970703125
2025-08-12,728.710693359375
2025-08-13,729.9948120117188
2025-08-14,732.4552612304688
2025-08-15,716.3004760742188
2025-08-18,716.5357666015625
2025-08-19,707.1448364257812
2025-08-20,706.4586181640625
2025-08-21,701.8219604492188
2025-08-22,727.2501220703125
2025-08-25,724.211181640625
2025-08-26,734.1707153320312
2025-08-27,734.87646484375
2025-08-28,736.3958740234375
2025-08-29,734.4544677734375
2025-09-02,720.2630615234375
2025-09-03,719.9772338867188
2025-09-04,738.0515747070312
2025-09-05,727.5164794921875
2025-09-08,731.1036987304688
2025-09-09,752.85400390625
2025-09-10,758.4320678710938
2025-09-11,773.362548828125
2025-09-12,768.76025390625
2025-09-15,775.3631591796875
2025-09-16,774.1510009765625
2025-09-17,782.715087890625
2025-09-18,792.658935546875
2025-09-19,793.3389282226562
2025-09-22,793.8908081054688
2025-09-23,794.6398315429688
2025-09-24,780.9511108398438
2025-09-25,783.247314453125
2025-09-26,790.885009765625
2025-09-29,792.4717407226562
2025-09-30,784.814208984375
2025-10-01,774.1312866210938
2025-10-02,768.090087890625
2025-10-03,778.5365600585938
2025-10-06,785.238037109375
2025-10-07,778.2113037109375
2025-10-08,765.2616577148438
2025-10-09,768.6616821289062
2025-10-10,753.28759765625
2025-10-13,775.3829345703125
2025-10-14,759.594970703125
2025-10-15,756.805908203125
2025-10-16,747.1084594726562
2025-10-17,739.89453125
2025-10-20,752.2626953125
2025-10-21,747.985595703125
2025-10-22,733.8138427734375
2025-10-23,739.9043579101562
2025-10-24,772.52490234375
2025-10-27,778.54638671875
2025-10-28,780.6160278320312
2025-10-29,771.7167358398438
2025-10-30,778.7138671875
2025-10-31,777.9353637695312
2025-11-03,774.14111328125
2025-11-04,779.3742065429688
2025-11-05,781.6015014648438
2025-11-06,776.1713256835938
2025-11-07,774.9492797851562
2025-11-10,785.6519165039062
2025-11-11,798.572021484375
2025-11-12,826.81689453125
2025-11-13,793.8316650390625
2025-11-14,779.4530639648438
2025-11-17,764.325439453125
2025-11-18,765.0546264648438
2025-11-19,774.6043090820312
2025-11-20,762.4923095703125
2025-11-21,762.817626953125
2025-11-24,779.2559814453125
2025-11-25,790.69775390625
2025-11-26,804.1895141601562
2025-11-28,814.0741577148438
2025-12-01,799.1140747070312
2025-12-02,807.3839721679688
2025-12-03,828.5388793945312
2025-12-04,829.7867431640625
2025-12-05,846.3561401367188
2025-12-08,858.3696899414062
2025-12-09,868.164794921875
2025-12-10,880.7032470703125
2025-12-11,902.2840576171875
2025-12-12,879.435546875
2025-12-15,881.0499267578125
2025-12-16,870.7100830078125
2025-12-17,863.95556640625
2025-12-18,867.887451171875
2025-12-19,884.9024658203125
2025-12-22,890.3695678710938
2025-12-23,893.0535278320312
2025-12-24,902.0364379882812
2025-12-26,898.3323364257812
2025-12-29,883.614990234375
2025-12-30,875.929443359375
2025-12-31,870.5615234375
2026-01-02,905.5623168945312
2026-01-05,939.3348999023438
2026-01-06,946.29736328125
2026-01-07,931.9861450195312
2026-01-08,925.8555297851562
2026-01-09,929.9656982421875
2026-01-12,940.4342651367188
2026-01-13,929.1437377929688
2026-01-14,923.71630859375
2026-01-15,966.4916381835938
2026-01-16,952.7647094726562
2026-01-20,934.3135986328125
2026-01-21,943.8610229492188
2026-01-22,945.4852905273438
2026-01-23,910.0587158203125
2026-01-26,922.9140625
2026-01-27,920.7946166992188
2026-01-28,927.8165893554688
2026-01-29,931.0947875976562
2026-01-30,926.4299926757812
2026-02-02,937.2451782226562
2026-02-03,929.9756469726562
2026-02-04,904.5322265625
2026-02-05,881.8619384765625
2026-02-06,919.8339233398438
2026-02-09,934.5611572265625
2026-02-10,939.879638671875
2026-02-11,935.5218505859375
2026-02-12,895.8662719726562
2026-02-13,896.4506225585938
2026-02-17,907.2459106445312
2026-02-18,924.76611328125
2026-02-19,907.85009765625
2026-02-20,913.3864135742188
2026-02-23,883.7437744140625
2026-02-24,893.608154296875
2026-02-25,912.53466796875
2026-02-26,920.0814819335938
2026-02-27,851.3180541992188
2026-03-02,857.9190063476562
2026-03-03,858.795166015625
2026-03-04,863.4446411132812
2026-03-05,831.7941284179688
2026-03-06,817.8157348632812
2026-03-09,828.3792114257812
2026-03-10,830.1513671875
2026-03-11,820.1454467773438
2026-03-12,784.0645141601562
2026-03-13,778.7777709960938
2026-03-16,791.2826538085938
2026-03-17,803.498779296875
2026-03-18,801.9456787109375
2026-03-19,805.9480590820312
2026-03-20,809.9603881835938
2026-03-23,827.6224975585938
2026-03-24,832.052978515625
2026-03-25,838.1461791992188
2026-03-26,819.0303955078125
2026-03-27,799.3670654296875
2026-03-30,804.0563354492188
2026-03-31,842.2778930664062
2026-04-01,856.435546875
2026-04-02,859.2531127929688
2026-04-06,862.2498779296875
2026-04-07,860.3582763671875
2026-04-08,901.7756958007812
2026-04-09,899.7545776367188
2026-04-10,903.8167114257812
2026-04-13,886.88134765625
2026-04-14,905.638671875
2026-04-15,895.5431518554688
2026-04-16,896.0509033203125
2026-04-17,921.8870849609375
2026-04-20,937.6077880859375
2026-04-21,922.4844360351562
2026-04-22,930.7380981445312
2026-04-23,927.2135620117188
2026-04-24,922.8428344726562
2026-04-27,933.6950073242188
2026-04-28,922.4844360351562
2026-04-29,901.6263427734375
2026-04-30,919.7166748046875
2026-05-01,919.6569213867188
2026-05-04,899.3065795898438
2026-05-05,914.8580322265625
2026-05-06,933.2369995117188
2026-05-07,921.8074340820312
2026-05-08,932.370849609375
2026-05-11,940.7140502929688
2026-05-12,941.7495727539062
2026-05-13,951.2277221679688
2026-05-14,964.7083740234375
2026-05-15,944.3082275390625
2026-05-18,942.20751953125
2026-05-19,924.664794921875
2026-05-20,977.8106079101562
2026-05-21,983.8340454101562
2026-05-22,992.3564453125
2026-05-26,990.1561889648438
2026-05-27,992.0975952148438
2026-05-28,1003.9454345703125
2026-05-29,1021.06005859375
2026-06-01,1048.5799560546875
2026-06-02,1064.5799560546875
2026-06-03,1041.02001953125
2026-06-04,1092.6099853515625
2026-06-05,1038.6800537109375
2026-06-08,1045.0
2026-06-09,1032.010009765625
2026-06-10,1001.2899780273438
2026-06-11,1035.6400146484375
2026-06-12,1062.75
2026-06-15,1076.1700439453125
2026-06-16,1090.6700439453125
2026-06-17,1099.1400146484375
2026-06-18,1096.56005859375
2026-06-22,1106.3699951171875
2026-06-23,1094.43994140625
2026-06-24,1076.9100341796875
2026-06-25,1065.0899658203125
2026-06-26,1019.6099853515625
2026-06-29,1020.2100219726562
2026-06-30,1011.3699951171875
