date,adjclose
2024-10-01,116.81746673583984
2024-10-02,118.66458129882812
2024-10-03,122.65834045410156
2024-10-04,124.72511291503906
2024-10-07,127.52073669433594
2024-10-08,132.6826629638672
2024-10-09,132.44305419921875
2024-10-10,134.59967041015625
2024-10-11,134.58970642089844
2024-10-14,137.85459899902344
2024-10-15,131.3946990966797
2024-10-16,135.50828552246094
2024-10-17,136.71636962890625
2024-10-18,137.7847137451172
2024-10-21,143.4857940673828
2024-10-22,143.36598205566406
2024-10-23,139.34226989746094
2024-10-24,140.19094848632812
2024-10-25,141.31918334960938
2024-10-28,140.30079650878906
2024-10-29,141.02963256835938
2024-10-30,139.12261962890625
2024-10-31,132.55287170410156
2024-11-01,135.1887664794922
2024-11-04,135.83775329589844
2024-11-05,139.69174194335938
2024-11-06,145.38284301757812
2024-11-07,148.6477508544922
2024-11-08,147.39967346191406
2024-11-11,145.03335571289062
2024-11-12,148.05862426757812
2024-11-13,146.04180908203125
2024-11-14,146.53103637695312
2024-11-15,141.75848388671875
2024-11-18,139.93133544921875
2024-11-19,146.78065490722656
2024-11-20,145.6623992919922
2024-11-21,146.44119262695312
2024-11-22,141.72853088378906
2024-11-25,135.80780029296875
2024-11-26,136.70639038085938
2024-11-27,135.12884521484375
2024-11-29,138.03433227539062
2024-12-02,138.41371154785156
2024-12-03,140.0411834716797
2024-12-04,144.91357421875
2024-12-05,144.84368896484375
2024-12-06,142.22756958007812
2024-12-09,138.6029815673828
2024-12-10,134.86856079101562
2024-12-11,139.10223388671875
2024-12-12,137.1351776123047
2024-12-13,134.04978942871094
2024-12-16,131.80313110351562
2024-12-17,130.19554138183594
2024-12-18,128.7177734375
2024-12-19,130.48509216308594
2024-12-20,134.49911499023438
2024-12-23,139.4617156982422
2024-12-24,140.01089477539062
2024-12-26,139.72132873535156
2024-12-27,136.80567932128906
2024-12-30,137.28494262695312
2024-12-31,134.08973693847656
2025-01-02,138.10372924804688
2025-01-03,144.2545623779297
2025-01-06,149.20713806152344
2025-01-07,139.93099975585938
2025-01-08,139.90106201171875
2025-01-10,135.7073211669922
2025-01-13,133.0313262939453
2025-01-14,131.56350708007812
2025-01-15,136.03683471679688
2025-01-16,133.3708038330078
2025-01-17,137.504638671875
2025-01-21,140.61997985839844
2025-01-22,146.85069274902344
2025-01-23,147.00045776367188
2025-01-24,142.4073028564453
2025-01-27,118.24339294433594
2025-01-28,128.79763793945312
2025-01-29,123.5155258178711
2025-01-30,124.464111328125
2025-01-31,119.89093780517578
2025-02-03,116.48603057861328
2025-02-04,118.47305297851562
2025-02-05,124.64384460449219
2025-02-06,128.4881134033203
2025-02-07,129.64634704589844
2025-02-10,133.3708038330078
2025-02-11,132.6019744873047
2025-02-12,130.94442749023438
2025-02-13,135.08822631835938
2025-02-14,138.64292907714844
2025-02-18,139.19210815429688
2025-02-19,139.02236938476562
2025-02-20,139.90106201171875
2025-02-21,134.22950744628906
2025-02-24,130.08572387695312
2025-02-25,126.44115447998047
2025-02-26,131.084228515625
2025-02-27,119.9708251953125
2025-02-28,124.73370361328125
2025-03-03,113.88990020751953
2025-03-04,115.81702423095703
2025-03-05,117.12507629394531
2025-03-06,110.40510559082031
2025-03-07,112.52195739746094
2025-03-10,106.8204574584961
2025-03-11,108.59780883789062
2025-03-12,115.57803344726562
2025-03-13,115.41825103759766
2025-03-14,121.49972534179688
2025-03-17,119.36272430419922
2025-03-18,115.26846313476562
2025-03-19,117.35552978515625
2025-03-20,118.3641128540039
2025-03-21,117.5352783203125
2025-03-24,121.24009704589844
2025-03-25,120.52110290527344
2025-03-26,113.60079956054688
2025-03-27,111.27405548095703
2025-03-28,109.51651763916016
2025-03-31,108.22832489013672
2025-04-01,109.99585723876953
2025-04-02,110.26546478271484
2025-04-03,101.65753936767578
2025-04-04,94.17801666259766
2025-04-07,97.50334930419922
2025-04-08,96.16522979736328
2025-04-09,114.17000579833984
2025-04-10,107.4194564819336
2025-04-11,110.77476501464844
2025-04-14,110.55506896972656
2025-04-15,112.04297637939453
2025-04-16,104.3437728881836
2025-04-17,101.34796142578125
2025-04-21,96.77438354492188
2025-04-22,98.75160217285156
2025-04-23,102.5662612915039
2025-04-24,106.28104400634766
2025-04-25,110.85465240478516
2025-04-28,108.57784271240234
2025-04-29,108.867431640625
2025-04-30,108.76756286621094
2025-05-01,111.45380401611328
2025-05-02,114.33976745605469
2025-05-05,113.66072082519531
2025-05-06,113.38111114501953
2025-05-07,116.89617919921875
2025-05-08,117.20574951171875
2025-05-09,116.48675537109375
2025-05-12,122.82787322998047
2025-05-13,129.7481689453125
2025-05-14,135.1505889892578
2025-05-15,134.64132690429688
2025-05-16,135.21051025390625
2025-05-19,135.38026428222656
2025-05-20,134.1919403076172
2025-05-21,131.6155548095703
2025-05-22,132.64410400390625
2025-05-23,131.10626220703125
2025-05-27,135.31036376953125
2025-05-28,134.621337890625
2025-05-29,138.99520874023438
2025-05-30,134.94090270996094
2025-06-02,137.187744140625
2025-06-03,141.02235412597656
2025-06-04,141.7213897705078
2025-06-05,139.79409790039062
2025-06-06,141.5216522216797
2025-06-09,142.43040466308594
2025-06-10,143.75852966308594
2025-06-11,142.6400146484375
2025-06-12,144.80712890625
2025-06-13,141.78115844726562
2025-06-16,144.49754333496094
2025-06-17,143.92828369140625
2025-06-18,145.28648376464844
2025-06-20,143.65866088867188
2025-06-23,143.97824096679688
2025-06-24,147.7032470703125
2025-06-25,154.10475158691406
2025-06-26,154.8137969970703
2025-06-27,157.54017639160156
2025-06-30,157.7798614501953
2025-07-01,153.09609985351562
2025-07-02,157.04083251953125
2025-07-03,159.1280517578125
2025-07-07,158.02952575683594
2025-07-08,159.7871856689453
2025-07-09,162.66334533691406
2025-07-10,163.88172912597656
2025-07-11,164.7006378173828
2025-07-14,163.85177612304688
2025-07-15,170.4729461669922
2025-07-16,171.14205932617188
2025-07-17,172.7698974609375
2025-07-18,172.18069458007812
2025-07-21,171.1520538330078
2025-07-22,166.80784606933594
2025-07-23,170.55284118652344
2025-07-24,173.5089111328125
2025-07-25,173.26922607421875
2025-07-28,176.514892578125
2025-07-29,175.27655029296875
2025-07-30,179.03155517578125
2025-07-31,177.63340759277344
2025-08-01,173.4889373779297
2025-08-04,179.76058959960938
2025-08-05,178.02288818359375
2025-08-06,179.1813507080078
2025-08-07,180.52957153320312
2025-08-08,182.4569854736328
2025-08-11,181.8178253173828
2025-08-12,182.9163818359375
2025-08-13,181.3484649658203
2025-08-14,181.7778778076172
2025-08-15,180.20997619628906
2025-08-18,181.7678985595703
2025-08-19,175.4063720703125
2025-08-20,175.16668701171875
2025-08-21,174.7472381591797
