date,adjclose
2024-10-01,80.00431060791016
2024-10-02,79.17740631103516
2024-10-03,79.17740631103516
2024-10-04,79.67945098876953
2024-10-07,77.86811065673828
2024-10-08,78.46862030029297
2024-10-09,79.14786529541016
2024-10-10,78.37016296386719
2024-10-11,78.85253143310547
2024-10-14,79.0395736694336
2024-10-15,80.37838745117188
2024-10-16,79.95509338378906
2024-10-17,79.63021850585938
2024-10-18,80.04368591308594
2024-10-21,79.55147552490234
2024-10-22,80.74263763427734
2024-10-23,81.9731674194336
2024-10-24,81.74675750732422
2024-10-25,81.22500610351562
2024-10-28,81.46126556396484
2024-10-29,80.42761993408203
2024-10-30,80.12244415283203
2024-10-31,80.6737060546875
2024-11-01,80.90998077392578
2024-11-04,81.16592407226562
2024-11-05,82.37678527832031
2024-11-06,82.14051818847656
2024-11-07,82.54412841796875
2024-11-08,83.50887298583984
2024-11-11,82.89852142333984
2024-11-12,83.66637420654297
2024-11-13,84.16844940185547
2024-11-14,83.15447998046875
2024-11-15,82.93789672851562
2024-11-18,82.77054595947266
2024-11-19,85.25131225585938
2024-11-20,85.822265625
2024-11-21,87.013427734375
2024-11-22,89.03150177001953
2024-11-25,88.10613250732422
2024-11-26,89.88795471191406
2024-11-27,90.44908142089844
2024-11-29,91.05941009521484
2024-12-02,91.19723510742188
2024-12-03,92.0536880493164
2024-12-04,92.97904968261719
2024-12-05,93.81581115722656
2024-12-06,94.20957946777344
2024-12-09,92.36870574951172
2024-12-10,93.07749938964844
2024-12-11,93.4811019897461
2024-12-12,92.62464904785156
2024-12-13,92.98773956298828
2024-12-16,93.59942626953125
2024-12-17,94.14205932617188
2024-12-18,92.29710388183594
2024-12-19,92.14910888671875
2024-12-20,91.00464630126953
2024-12-23,89.13996887207031
2024-12-24,91.43875885009766
2024-12-26,91.54727935791016
2024-12-27,90.43241882324219
2024-12-30,89.35701751708984
2024-12-31,89.13996887207031
2025-01-02,88.7946548461914
2025-01-03,89.564208984375
2025-01-06,90.20549774169922
2025-01-07,89.59379577636719
2025-01-08,90.57054901123047
2025-01-10,91.75447082519531
2025-01-13,90.30416107177734
2025-01-14,89.5740737915039
2025-01-15,90.11669921875
2025-01-16,90.0772476196289
2025-01-17,90.70867919921875
2025-01-21,91.83341217041016
2025-01-22,91.98139953613281
2025-01-23,92.55361938476562
2025-01-24,93.49090576171875
2025-01-27,96.09555053710938
2025-01-28,95.98701477050781
2025-01-29,96.19419860839844
2025-01-30,97.32879638671875
2025-01-31,96.84536743164062
2025-02-03,98.2068862915039
2025-02-04,99.42039489746094
2025-02-05,101.08777618408203
2025-02-06,101.47254943847656
2025-02-07,99.79531860351562
2025-02-10,101.54161834716797
2025-02-11,101.09764862060547
2025-02-12,102.22237396240234
2025-02-13,103.6430892944336
2025-02-14,102.64661407470703
2025-02-18,102.39009094238281
2025-02-19,102.60714721679688
2025-02-20,95.9080810546875
2025-02-21,93.51062774658203
2025-02-24,92.41549682617188
2025-02-25,96.38166046142578
2025-02-26,94.91161346435547
2025-02-27,95.49371337890625
2025-02-28,97.28934478759766
2025-03-03,96.28298950195312
2025-03-04,93.69808959960938
2025-03-05,94.69457244873047
2025-03-06,93.37251281738281
2025-03-07,90.49161529541016
2025-03-10,86.64384460449219
2025-03-11,86.26893615722656
2025-03-12,84.05892944335938
2025-03-13,83.36830139160156
2025-03-14,84.20692443847656
2025-03-17,86.28866577148438
2025-03-18,84.4437026977539
2025-03-19,85.17381286621094
2025-03-20,84.6607666015625
2025-03-21,85.06144714355469
2025-03-24,86.5552978515625
2025-03-25,83.8544692993164
2025-03-26,84.29966735839844
2025-03-27,84.71516418457031
2025-03-28,84.24031066894531
2025-03-31,86.85209655761719
2025-04-01,87.8809814453125
2025-04-02,88.80105590820312
2025-04-03,86.3277587890625
2025-04-04,82.30123901367188
2025-04-07,82.93441009521484
2025-04-08,80.91619873046875
2025-04-09,88.64276885986328
2025-04-10,89.64197540283203
2025-04-11,91.8085708618164
2025-04-14,93.71794891357422
2025-04-15,92.96607971191406
2025-04-16,90.21577453613281
2025-04-17,92.22409057617188
2025-04-21,91.42276000976562
2025-04-22,93.836669921875
2025-04-23,93.94549560546875
2025-04-24,94.81608581542969
2025-04-25,94.0740966796875
2025-04-28,94.20272827148438
2025-04-29,95.01396942138672
2025-04-30,96.21102905273438
2025-05-01,96.36933135986328
2025-05-02,97.69500732421875
2025-05-05,98.26881408691406
2025-05-06,97.49716186523438
2025-05-07,97.77416229248047
2025-05-08,96.38911437988281
2025-05-09,95.91804504394531
2025-05-12,95.94779968261719
2025-05-13,95.08500671386719
2025-05-14,96.02713775634766
2025-05-15,95.55110931396484
2025-05-16,97.42544555664062
2025-05-19,97.30644226074219
2025-05-20,96.98908996582031
2025-05-21,95.63045501708984
