date,adjclose
2024-10-01,138.9782257080078
2024-10-02,140.1387176513672
2024-10-03,140.41722106933594
2024-10-04,139.94375610351562
2024-10-07,140.2965087890625
2024-10-08,138.0962677001953
2024-10-09,138.93179321289062
2024-10-10,139.83233642578125
2024-10-11,140.5750274658203
2024-10-14,140.90924072265625
2024-10-15,137.14930725097656
2024-10-16,138.0777130126953
2024-10-17,140.3708038330078
2024-10-18,139.9530029296875
2024-10-21,140.07373046875
2024-10-22,140.11085510253906
2024-10-23,139.70236206054688
2024-10-24,139.67449951171875
2024-10-25,140.00872802734375
2024-10-28,139.75804138183594
2024-10-29,137.88275146484375
2024-10-30,137.4464111328125
2024-10-31,138.1612548828125
2024-11-01,142.1068572998047
2024-11-04,142.9424285888672
2024-11-05,142.42251586914062
2024-11-06,146.42381286621094
2024-11-07,145.5418701171875
2024-11-08,145.69039916992188
2024-11-11,145.2911834716797
2024-11-12,144.16786193847656
2024-11-13,147.35220336914062
2024-11-14,150.21160888671875
2024-11-15,149.85882568359375
2024-11-18,150.76853942871094
2024-11-19,149.68060302734375
2024-11-20,151.30311584472656
2024-11-21,151.58445739746094
2024-11-22,152.2690887451172
2024-11-25,150.3933868408203
2024-11-26,152.4285125732422
2024-11-27,152.0346221923828
2024-11-29,151.86581420898438
2024-12-02,152.12841796875
2024-12-03,151.8564453125
2024-12-04,148.48019409179688
2024-12-05,149.42739868164062
2024-12-06,145.59161376953125
2024-12-09,147.31724548339844
2024-12-10,147.2422332763672
2024-12-11,146.50132751464844
2024-12-12,145.0945587158203
2024-12-13,144.3067626953125
2024-12-16,140.07705688476562
2024-12-17,138.90475463867188
2024-12-18,135.12521362304688
2024-12-19,132.3773193359375
2024-12-20,133.97166442871094
2024-12-23,134.08421325683594
2024-12-24,134.90013122558594
2024-12-26,135.03143310546875
2024-12-27,135.05018615722656
2024-12-30,134.17800903320312
2024-12-31,135.8379669189453
2025-01-02,137.59176635742188
2025-01-03,138.6609344482422
2025-01-06,138.10757446289062
2025-01-07,140.29275512695312
2025-01-08,140.95863342285156
2025-01-10,143.62213134765625
2025-01-13,145.69479370117188
2025-01-14,147.14842224121094
2025-01-15,148.48956298828125
2025-01-16,149.47430419921875
2025-01-17,151.43441772460938
2025-01-21,148.40516662597656
2025-01-22,146.68890380859375
2025-01-23,146.31373596191406
2025-01-24,145.97613525390625
2025-01-27,147.45791625976562
2025-01-28,146.50132751464844
2025-01-29,146.01364135742188
2025-01-30,146.60450744628906
2025-01-31,139.91763305664062
2025-02-03,140.0583038330078
2025-02-04,143.69715881347656
