date,adjclose
2024-10-01,267.4455261230469
2024-10-02,275.9467468261719
2024-10-03,277.3586120605469
2024-10-04,284.11212158203125
2024-10-07,280.9723815917969
2024-10-08,287.8838806152344
2024-10-09,284.2799987792969
2024-10-10,286.5016174316406
2024-10-11,284.45770263671875
2024-10-14,287.9529724121094
2024-10-15,284.7045593261719
2024-10-16,287.1827697753906
2024-10-17,287.42962646484375
2024-10-18,289.2365417480469
2024-10-21,287.6073913574219
2024-10-22,284.68475341796875
2024-10-23,280.8341369628906
2024-10-24,283.1346435546875
2024-10-25,286.7878723144531
2024-10-28,290.0560607910156
2024-10-29,295.1113586425781
2024-10-30,292.65277099609375
2024-10-31,287.6863708496094
2024-11-01,290.9940490722656
2024-11-04,294.242431640625
2024-11-05,293.7290344238281
2024-11-06,303.02001953125
2024-11-07,306.8509826660156
2024-11-08,317.8797607421875
2024-11-11,337.40972900390625
2024-11-12,336.8370361328125
2024-11-13,337.39984130859375
2024-11-14,327.4571228027344
2024-11-15,321.1479797363281
2024-11-18,318.1759948730469
2024-11-19,319.341064453125
2024-11-20,321.5823974609375
2024-11-21,331.534912109375
2024-11-22,337.6960144042969
2024-11-25,334.82281494140625
2024-11-26,338.84136962890625
2024-11-27,325.837890625
2024-11-29,325.818115234375
2024-12-02,326.8252258300781
2024-12-03,327.23992919921875
2024-12-04,363.21923828125
2024-12-05,356.8113098144531
2024-12-06,357.41357421875
2024-12-09,347.1253356933594
2024-12-10,344.4100646972656
2024-12-11,350.36383056640625
2024-12-12,353.503662109375
2024-12-13,349.8306579589844
2024-12-16,352.71380615234375
2024-12-17,346.5328674316406
2024-12-18,333.3465270996094
2024-12-19,332.3580627441406
2024-12-20,339.6925354003906
2024-12-23,338.951171875
2024-12-24,340.4635925292969
2024-12-26,337.7847900390625
2024-12-27,334.552490234375
2024-12-30,331.8736877441406
2024-12-31,330.47991943359375
2025-01-02,326.8521728515625
2025-01-03,329.06634521484375
2025-01-06,326.7236633300781
2025-01-07,321.1881408691406
2025-01-08,323.1354675292969
2025-01-10,314.189697265625
2025-01-13,315.3956298828125
2025-01-14,319.814208984375
2025-01-15,317.4615478515625
2025-01-16,316.3149108886719
2025-01-17,320.8224182128906
2025-01-21,323.076171875
2025-01-22,328.78961181640625
2025-01-23,330.80609130859375
2025-01-24,330.03509521484375
2025-01-27,343.1028747558594
2025-01-28,355.80487060546875
2025-01-29,349.9233703613281
2025-01-30,339.613525390625
2025-01-31,337.7650146484375
2025-02-03,335.3333740234375
2025-02-04,340.1769104003906
2025-02-05,343.92327880859375
2025-02-06,327.00042724609375
2025-02-07,322.0777587890625
2025-02-10,323.4320373535156
2025-02-11,320.6642761230469
2025-02-12,322.36444091796875
2025-02-13,326.051513671875
2025-02-14,322.77960205078125
2025-02-18,325.1717224121094
2025-02-19,320.792724609375
