date,gross_ret,net_ret,turnover,longs,shorts,source,rationale
2025-02-06,-0.012962107662177518,-0.01409349428206959,0.5656933099460357,IBM|MMM|DIS|CRM|AMZN,JNJ|VZ|DOW|NVDA|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-07,-0.016673718484012126,-0.017221159549993224,0.2737205329905499,AMZN|IBM|DIS|MMM|CRM,MCD|JNJ|VZ|NVDA|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-10,0.002133003524583144,0.0008491843019320254,0.6419096113255592,IBM|DIS|AMZN|MMM|CRM,CVX|CAT|AMGN|NVDA|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-11,0.007078626785542046,0.0063153657080731495,0.3816305387344481,IBM|AMZN|DIS|MMM|AXP,JNJ|DOW|CAT|AMGN|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-12,-0.006566838719921853,-0.007533989269794481,0.4835752749363137,IBM|AMZN|AXP|MMM|DIS,UNH|CAT|MCD|DOW|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-13,-0.005094415688871967,-0.007136488612401576,1.0210364617648047,AMZN|MMM|JPM|DIS|BA,CVX|VZ|NKE|UNH|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-14,-0.01578386197495885,-0.01675157575957352,0.4838568923073353,JPM|MMM|AXP|DIS|AMZN,VZ|UNH|DOW|NKE|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-18,0.005295917808961566,0.0035782003880871927,0.8588587104371868,WMT|MMM|AMZN|V|BA,HON|VZ|NKE|NVDA|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-19,-0.03556397198357178,-0.03650610216546172,0.4710650909449709,AMZN|WMT|MMM|JPM|IBM,VZ|DOW|NKE|HON|NVDA,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-20,-0.013665724182424541,-0.014288010374646895,0.3111430961111769,WMT|BA|AMZN|JPM|MMM,VZ|NKE|NVDA|HON|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-21,-0.012074794104751211,-0.012877139436276745,0.40117266576276656,WMT|BA|AMZN|JPM|MMM,VZ|TRV|MRK|HON|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-24,-0.0065742431900192855,-0.007451385091444192,0.43857095071245344,WMT|JPM|BA|IBM|MMM,PG|MRK|DOW|TRV|HON,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-25,0.003931923377045506,0.003486031156072998,0.22294611048625407,IBM|WMT|BA|JPM|MMM,VZ|DOW|TRV|MRK|HON,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-26,-0.011557397148400095,-0.012405231587665298,0.42391721963260154,IBM|AMZN|BA|WMT|JPM,HD|TRV|HON|DOW|MRK,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-27,-0.005693597045604945,-0.006619186368300593,0.4627946613478241,IBM|AMZN|BA|CSCO|JPM,HD|CAT|TRV|HON|MRK,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-02-28,0.000327648817071622,-0.0006807396807968563,0.5041942489342391,IBM|BA|CSCO|AMZN|KO,HON|MRK|CAT|UNH|HD,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-03-03,-0.006854037945214671,-0.007847999925222494,0.49698099000391194,IBM|BA|AMGN|AAPL|CSCO,CAT|MRK|HON|UNH|HD,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-03-04,0.0022552316462886865,0.0013830785420582115,0.43607655211523744,BA|AMGN|IBM|NKE|AAPL,TRV|HD|HON|MRK|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-03-05,-0.018481698186699792,-0.019730609041715502,0.6244554275078552,IBM|BA|KO|CSCO|NKE,HD|HON|CAT|MRK|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
