date,topology,gross_ret,net_ret,turnover,rank_ic_round0,rank_ic_final,manager_source,longs,shorts,rationale
2024-12-31,sparse,0.011063407096336424,0.009063407096336424,1.0,0.16631119260168298,0.16249681208022276,rule,AMZN|APO|APP|AXON|CCL|CIEN|COHR|COIN|CRM|CRWD|CVNA|DAL|DASH|DDOG|DECK|DXCM|EXPE|FTNT|GDDY|GEV|GOOGL|GRMN|LYV|MRVL|NCLH|NFLX|NOW|NVDA|PANW|PLTR|RCL|TPL|TSLA|TTD|UAL|XYZ|WDAY|HOOD|VRT|APH|GOOG|MAR|FOX|VST|ANET|IBKR|SCHW|BKNG|HPE|PYPL,VLO|SLB|PSX|PLD|O|NUE|MRNA|MRK|MPC|MDLZ|LYB|IDXX|HAL|FANG|EL|DVN|DOW|CVS|CNC|BIIB|APTV|APA|ALGN|BBY|GIS|EXR|REGN|NDSN|DG|DOC|WY|ADM|DHI|VICI|GPC|ES|AMT|MCHP|LMT|SBAC|EG|HCA|KHC|TGT|CBOE|SBUX|CCI|IRM|OXY|CVX,"Conviction-gated: 50 longs (score >= 75), 50 shorts (score <= 25), bounds [5,50] per side, weighted by confidence x |score-50|."
2025-01-02,sparse,0.0053832994146677665,0.0040841968763086585,0.6495512691795539,0.14175873018248078,0.13045880841157348,rule,AMZN|APH|APO|AVGO|AXON|CCL|CDNS|CIEN|COIN|CRM|CRWD|CVNA|DAL|EXPE|FTNT|GDDY|GM|GOOGL|GRMN|JBL|LULU|MAR|MRVL|NFLX|NOW|PANW|PLTR|RCL|TSLA|TTD|UAL|WDAY|XYZ|IP|CPRT|BKNG|GEV|AAPL|LYV|BA|DXCM|GOOG|DDOG|EW|WMT|NCLH|WFC|SYF|TRMB|DECK,VLO|UBER|SLB|REGN|PSX|PLD|NEM|MRNA|MRK|MPC|DVN|DOW|CVS|BIIB|APTV|APA|AES|FANG|BAX|HAL|MDLZ|CEG|AWK|EL|ES|FSLR|SWK|XOM|OMC|IRM|CARR|CNC|IDXX|VZ|UHS|AEP|SBAC|UNH|KHC|CBOE|LMT|ABBV|WY|VICI|GIS|MOS|OXY|O|HCA|HAS,"Conviction-gated: 50 longs (score >= 75), 50 shorts (score <= 25), bounds [5,50] per side, weighted by confidence x |score-50|."
2025-01-03,sparse,-0.001523931062547135,-0.0027129584222118554,0.59451367983236,0.06622549275967012,0.05949213660800158,rule,APO|AVGO|AXON|BA|BKNG|CCL|CIEN|CPRT|DAL|EXPE|GDDY|GM|GOOGL|GRMN|IP|LULU|LYV|MAR|NCLH|NFLX|NOW|PLTR|RCL|SW|TSLA|UAL|DIS|CRM|AAPL|CRWD|NTRS|APH|AMZN|MS|GILD|TRMB|DECK|ULTA|WDAY|EW|WMT|HON|SNA|GOOG|V|COF|RJF|PANW|WBD|COIN,VLO|UBER|STX|SLB|REGN|PSX|NEM|MRNA|MPWR|MPC|LRCX|HAL|FANG|DVN|CVS|CEG|APTV|APA|AES|AMD|FSLR|BIIB|SWK|OXY|KLAC|GEHC|VICI|MDLZ|DOC|CARR|LDOS|WY|AMAT|O|COP|CNC|XOM|MCHP|EXR|MOS|EOG|AOS|ABBV|NEE|MRK|BAX|MU|GPC|IRM|HAS,"Conviction-gated: 50 longs (score >= 75), 50 shorts (score <= 25), bounds [5,50] per side, weighted by confidence x |score-50|."
2025-01-06,sparse,-0.01364082675727126,-0.014610760809721752,0.48496702622524596,-0.20312332509977235,-0.20619748661419604,rule,APO|AXON|CCL|CIEN|DAL|EXPE|GDDY|GRMN|LYV|NFLX|PLTR|RCL|TSLA|CRM|DIS|AVGO|SW|HON|BKNG|EW|UAL|V|BA|CPRT|WDAY|NTRS|GM|AAPL|GILD|IP|SNA|VTRS|MAR|DXCM|CVNA|NCLH|NOW|ADSK|ETR|ULTA|DRI|DECK|SCHW|FDX|WTW|VMC|PANW|BLK|NDAQ|KR,VLO|UBER|SWK|STX|SMCI|SLB|PSX|NUE|MRNA|MPWR|MPC|KLAC|HAL|FSLR|FANG|DVN|CVS|CDW|APA|AMD|AES|LRCX|REGN|AMAT|ALGN|ELV|APTV|OXY|LDOS|CNC|CEG|MCHP|IDXX|GEHC|PLD|BLDR|BAX|EOG|MTD|WY|AOS|CARR|VICI|NEM|COP|MOS|HAS|STLD|MU|ALB,"Conviction-gated: 50 longs (score >= 75), 50 shorts (score <= 25), bounds [5,50] per side, weighted by confidence x |score-50|."
